review_period,reconstructed_count,independent_snapshot_count,difference,current_anchor_count,event_count_since_period,source_coverage,identity_conflicts,corporate_action_conflicts,missing_event_conflicts,backtest_safety,reason,validation_status
2026-MAR,497,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,13,COMPLETE,0,0,0,BACKTEST_SAFE,High anchor alignment (497 symbols) and complete PDF evidence,RECONSTRUCTED_STATE_ONLY
2025-SEP,491,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,119,COMPLETE,0,0,0,BACKTEST_CONDITIONAL,"Reconstitutions complete, minor anchor drift (455-491 symbols)",RECONSTRUCTED_STATE_ONLY
2025-MAR,478,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,225,COMPLETE,0,0,0,BACKTEST_CONDITIONAL,"Reconstitutions complete, minor anchor drift (455-491 symbols)",RECONSTRUCTED_STATE_ONLY
2024-SEP,455,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,425,COMPLETE,0,0,0,BACKTEST_CONDITIONAL,"Reconstitutions complete, minor anchor drift (455-491 symbols)",RECONSTRUCTED_STATE_ONLY
2024-MAR,413,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,648,COMPLETE,0,0,0,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2023-SEP,420,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,722,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2023-MAR,421,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,778,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2022-SEP,425,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,820,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2022-MAR,415,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,912,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2021-SEP,411,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1028,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2021-MAR,416,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1034,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2020-SEP,413,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1074,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2020-MAR,414,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1078,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2019-SEP,419,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1094,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2019-MAR,420,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1096,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2018-SEP,420,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1096,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
2018-MAR,422,HISTORICAL_SNAPSHOT_NOT_AVAILABLE,N/A,500,1100,PARTIAL_OMISSION,38,22,65,BACKTEST_UNSAFE,Count <450 due to 2018-2021 press release addition deficit,RECONSTRUCTED_STATE_ONLY
